ASSESSID,ASSESSORID,STOCKID,RECORDER,DATERECORDED,DATELOADED,ASSESSYEAR,ASSESSSOURCE,CONTACTS,NOTES,PDFFILE,ASSESS,REFPOINTS,ASSESSMETHOD,ASSESSCOMMENTS,XLSFILENAME,MOSTRECENT
SEFSC-TILESATLC-1961-2002-STANTON,SEFSC,TILESATLC,STANTON,2009-05-29,2011-07-25,1961-2002,http://www.sefsc.noaa.gov/sedar/,contact details ,,2004-SEDAR-deepwatersnappergrouper.pdf,1,1,SCA,no comments,../spreadsheets/STANTON-TILESATLC-editedDR-QAQC.xls,yes
RIDEM-LOBSTERRI-1959-2007-COLLIE,RIDEM,LOBSTERRI,COLLIE,2008-04-12,2011-07-25,1959-2007,received from Contact,"Mark Gibson, Rhode Island Department of Environmental Management <mark.gibson@dem.ri.gov>",data preliminary until stock-assessment document received,,1,1,AAPM,fit to multiple abundance indices and tagging data,../spreadsheets/COLLIE-LOBRIDEM-2008-editedDR-QAQC.xls,yes
ICCAT-YFINATL-1970-2006-JENSEN,ICCAT,YFINATL,JENSEN,2009-04-10,2011-07-25,1970-2006,data received from contact.  Report online at: http://www.iccat.int/Documents/Meetings/Docs/2008_TROP_REP_EN.pdf,John Walter - NMFS,,JENSEN-YFINATL-2008.pdf,1,1,VPA,timeseries and ref points are avg of runs 5 & 10 - which were used to provide mgmt advice,../spreadsheets/JENSEN-YFINATL-2008-editedOJ.xls,yes
DFO-PAC-HERRWCVANI-1951-2007-COLLIE,DFO-PAC,HERRWCVANI,COLLIE,2008-07-29,2011-07-25,1951-2007,received from contact,"Jake Schweigert, Pacific Biological Station",this is a test entry only,RES2007_002_e.pdf,1,0,AD-CAM,The assessment method is called HCAM,../spreadsheets/COLLIE-HERRWCVI-2007-editedDR-QAQC.xls,yes
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,NWFSC,SABLEFPCOAST,BRANCH,2008-11-23,2011-07-25,1900-2007,http://www.pcouncil.org/groundfish/gfsafe1008/Sable07v3_0.pdf,,,NWFSC-SABLEFPCOAST-2007-Sablefish.pdf,1,1,SS2,,../spreadsheets/BRANCH-SABLEFPCOAST-2007-editedDR-QAQC.xls,yes
DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE,DFO-QUE,HERR4RSP,PREFONTAINE,2008-05-30,2011-07-25,1963-2004,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details ,This assessment is for the spring spawing stock of herring as the data on the fall spawning herring is insufficient. The data for maturity at age was taken from the purse-seine fishery landings from April-June (second quarter). The SPA bias was adjusted by a bootstrap analysis; the biomass and abundance numbers for 2003 and 2004 were calculated from the mean recruitment attributed to age 2 of year-classes 2001 and 2002.,NAFO-HERR4RSP-2004.pdf,1,1,SPA-ADAPT,no comments,../spreadsheets/PREFONTAINE-HERR4RSP-2004-editedRP-QAQC.xls,yes
NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN,NZMFishLOBSTERWG,RROCKLOBSTERCRA8,JENSEN,2009-04-07,2011-07-29,1976-2005,received from contact,Pall Starr - paul@starrfish.net,,PALLSTARRperscomm.pdf,1,0,MSLM,,../spreadsheets/JENSEN-RROCKLOBSTERCRA8-2005-editedDR.xls,yes
DFO-COD5Zjm-1978-2003-PREFONTAINE,DFO,COD5Zjm,PREFONTAINE,2008-06-10,2011-07-25,1978-2003,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details ,"The total landings are separated into three time series; 1 is Canadian landings (which have been from previous reports for 1986-1998), 2 is USA landings and 3 is the sum of these.In the VPA analysis the fishing mortality at age 10 for years 1978-1997 is estimated to be the weighed average of ages 8 and 9 of the same year.",NAFO-COD5Zjm-2003.pdf,1,1,ADAPT,no comments,../spreadsheets/PREFONTAINE-COD5Zjm-2003-editedDR-QAQC.xls,yes
NEFSC-SFLOUNMATLC-1940-2007-BAUM,NEFSC,SFLOUNMATLC,BAUM,2008-11-03,2011-07-25,1940-2007,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0812/,,"Stock is under rebuilding program with 2013 deadline. Total landings is total commercial landings, does not include recreational (also NMFS did not indentify flounders to species prior to 1978 for NC and 1957 for both MD and VA, thus numbers are all flounders). Life history data (mean weight at age etc. available for this stock)",NMFS-MATLC-Paralichthysdentatus-2008.pdf,1,1,ASAP,,../spreadsheets/BAUM-SFLOUNMATLC-2008-editedDR.xls,yes
MARAM-CRLOBSTERSA56-1910-2008-Johnston,MARAM,CRLOBSTERSA56,Johnston,2009-02-12,2011-07-25,1910-2008,Assessment conducted personally,"Susan Johnston, susan.holloway@uct.ac.za",,Johnston-SAWestRockLobster-2007.pdf,1,0,SCA,length based,../spreadsheets/Johnston-SAWestRockLobster-A5-6-2007-editedDR.xls,yes
AFSC-FLSOLEBSAI-1977-2008-STANTON,AFSC,FLSOLEBSAI,STANTON,2009-04-06,2011-07-25,1977-2008,http://www.afsc.noaa.gov/refm/Stocks/assessments.htm,William Stockhausen ,,2008_SAFE_BSAIflathead.pdf,1,1,AD-CAM,,../spreadsheets/STANTON-FLSOLEBSAI-2008-editedDR-QAQC.xls,yes
WGNSDS-WHITVIa-1984-2007-MINTO,WGNSDS,WHITVIa,MINTO,2008-04-14,2011-07-25,1984-2007,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,"The assessment is solely based on surveys. Therefore the time series are presented in relative values, not absolute.",ICES-WGNSDS-2007.pdf,1,1,SURBA,"The assessment is considered only to be indicative of stock trends. All time series are relative values (standardized between the surveys). Until revised Scottish discards are available and Irish discards included, an analytic assessment is not possible for this stock. The assessment presented by the WG this year is therefore based only on survey data which is the same approach as that adopted last year. Absolute reference points (provided in the assessment document) have been removed as they cannot be interpreted (ratios etc.) in the context of the current relative assessment",../spreadsheets/MINTO-WHITVIa-2007-editedDR-QAQC.xls,yes
NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN,NZMFishINSHOREWG,NZSNAPNZ8,JENSEN,2009-03-24,2011-07-25,1931-2005,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,,CORDUEperscomm.pdf,1,1,CASAL,total biomass measured at time of spawning (beginning of year) - same as ssb,../spreadsheets/JENSEN-SQUIREFISHNZ8-2005-v2-editedDR.xls,yes
WGBFAS-HERR30-1972-2007-JENNINGS,WGBFAS,HERR30,JENNINGS,2008-11-18,2011-07-25,1972-2007,http://www.ices.dk,NULL,NULL,ICES-WGBFAS-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-HER30-1973-2007-editedDR-QAQC.xls,yes
DFO-PAC-PCODHS-1956-2005-COLLIE,DFO-PAC,PCODHS,COLLIE,2008-04-08,2011-07-25,1956-2005,http://www.pac.dfo-mpo.gc.ca/sci/psarc/ResDocs/groundfish05_e.htm,"A.F. Sinclair, DFO Science Branch, Pacific Biological Station, Nanaimo, BC V9T 6N7",this is a test entry only,RES2005_026_Cod.pdf,1,1,Delay difference,"""Estimate M,h"" version of model used",../spreadsheets/COLLIE-PCODHS-2005-editedDR-QAQC.xls,yes
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,AFSC,SABLEFEBSAIGA,MELNYCHUK,2009-04-14,2011-07-25,1956-2008,http://www.afsc.noaa.gov/refm/docs/2008/BSAIsablefish.pdf,Dana Hanselman,,AFSC-SABLEFEBSAIGA-2008-Sablefish-EBS-AI-GA.pdf,1,1,AD-CAM,,../spreadsheets/MELNYCHUK-SABLEFEBSAIGA-2008-editedDR-QAQC.xls,yes
NWFSC-BOCACCSPCOAST-1951-2006-BRANCH,NWFSC,BOCACCSPCOAST,BRANCH,2008-11-23,2011-07-25,1951-2006,http://www.pcouncil.org/groundfish/gfsafe1008/bocaccio2007final.pdf,"Alec MacCall, Alec.Maccall@noaa.gov",STATc model is the base case model here,NWFSC-BOCACCSPCOAST-2007 Bocaccio.pdf,1,1,SS1,,../spreadsheets/BRANCH-BOCACCSPCOAST-2007-editedDR-QAQC.xls,yes
NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN,NZMFishDEEPWATER,SMOOTHOREOCR,JENSEN,2009-11-05,2011-07-25,1979-2006,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,Base run 33,CORDUEperscomm.pdf,1,1,CASAL,Base run 33,../spreadsheets/JENSEN-SMOOTHOREOCR-2004-editedDR.xls,yes
NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,NWFSC,ARFLOUNDPCOAST,BRANCH,2008-11-19,2011-07-25,1916-2007,http://www.pcouncil.org/groundfish/gfsafe1008/ArrowtoothAssess_Aug22.pdf,,,NWFSC-ARFLOUNDPCOAST-2007-Arrowtooth flounder.pdf,1,1,SS2,,../spreadsheets/BRANCH-ARFLOUNDPCOAST-2007-editedDR-QAQC.xls,yes
NAFO-SC-REDFISHSPP3M-1985-2006-PREFONTAINE,NAFO-SC,REDFISHSPP3M,PREFONTAINE,2008-07-28,2011-07-27,1985-2006,URL,contact details ,this is a test entry only,NAFO-RED3M-2007.pdf,1,0,XSA,no comments,../spreadsheets/PREFONTAINE-RED3M-2007-editedDR.xls,yes
NAFO-SC-COD3NO-1953-2007-BAUM,NAFO-SC,COD3NO,BAUM,2008-04-07,2011-07-25,1953-2007,http://www.nafo.int/publications/frames/science.html,Joanne Morgan,"Moratorium since 1994, but bycatch impeding recovery",NAFO-3NO-COD-2007.pdf,1,1,SPA,Blim only,../spreadsheets/BAUM-COD3NO-2007-editedDR-QAQC.xls,yes
INIDEP-PATGRENADIERSARG-1983-2006-Parma,INIDEP,PATGRENADIERSARG,Parma,2008-12-30,2011-07-25,1983-2006,URL,Analia Giussi- agiussi@inidep.edu.ar,,Giussi-hoki-2007.pdf,1,1,VPA,no comments,../spreadsheets/Parma-HOKI-ARG-S-2007-editedDR-QAQC.xls,yes
SWFSC-CALSCORPSCAL-1990-2005-STANTON,SWFSC,CALSCORPSCAL,STANTON,2009-08-07,2011-07-25,1990-2005,http://www.dfg.ca.gov/marine/scorpionfish/index.asp,contact details ,,Scorpionfish_assessment_report_2005.pdf,1,1,AD-CAM,no comments,../spreadsheets/STANTON-SCORPWC-2005-editedDR.xls,yes
NEFSC-ACADREDGOMGB-1913-2007-MILLER,NEFSC,ACADREDGOMGB,MILLER,2009-04-16,2011-07-25,1913-2007,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,,AcadianRedfish2008.pdf,1,1,ASAP,Variance of Discard estimates and small total removal estimates allowed some implausibly high fishing mortality estimates in recent years,../spreadsheets/MILLER-ACADIANREDFISH-2008-editedDR-QAQC.xls,yes
INIDEP-SBWHITARGS-1985-2007-Parma,INIDEP,SBWHITARGS,Parma,2008-12-30,2011-07-25,1985-2007,URL,Analia Giussi- agiussi@inidep.edu.ar,,Giussi-polaca-2007.pdf,1,1,VPA,no comments,../spreadsheets/Parma-POLACA-ARG-S-2008-editedDR-QAQC.xls,yes
WGBFAS-HERR31-1979-2006-JENNINGS,WGBFAS,HERR31,JENNINGS,2008-11-18,2011-07-25,1979-2006,http://www.ices.dk,NULL,NULL,ICES-WGBFAS-2007.pdf,1,0,XSA,"Concerns about adequacy of assessment, has been recommended as exploratory",../spreadsheets/JENNINGS-ICES-HER31-1973-2007-editedDR-QAQC.xls,yes
SEFSC-GTRIGGM-1981-2004-JENSEN,SEFSC,GTRIGGM,JENSEN,2008-11-21,2011-07-25,1981-2004,http://www.sefsc.noaa.gov/sedar/download/SEDAR9_SAR1%20Gray%20Triggerfish.pdf?id=DOCUMENT,,from Fogarty database,JENSEN_GTRIGGM_2006.pdf,1,1,ASPM,State-space Age-structured Surplus Production Model,../spreadsheets/JENSEN-GTRIGGM-2006-editedDR.xls,yes
MARAM-CRLOBSTERSA8-1910-2008-Johnston,MARAM,CRLOBSTERSA8,Johnston,2009-02-12,2011-07-25,1910-2008,Assessment conducted personally,"Susan Johnston, susan.holloway@uct.ac.za",,Johnston-SAWestRockLobster-2007.pdf,1,0,SCA,length based,../spreadsheets/Johnston-SAWestRockLobster-A8-2007-editedDR.xls,yes
NAFO-SC-YELL3LNO-1960-2009-BAUM,NAFO-SC,YELL3LNO,BAUM,2009-05-28,2011-07-25,1960-2009,http://www.nafo.int/fisheries/frames/fishery.html,,,NAFO-YELL3LNO-2008.pdf,1,1,ASPIC,,../spreadsheets/BAUM-YELL3LNO-2008-editedDR.xls,yes
DFO-PAC-ESOLEHS-1944-2001-COLLIE,DFO-PAC,ESOLEHS,COLLIE,2008-04-21,2011-07-25,1944-2001,received from Contact,"Jeff Fargo, Pacific Biological Station <Jeff.Fargo@dfo-mpo.gc.ca>",this is a test entry only,Flat99.pdf,1,1,TSA,no comments,../spreadsheets/COLLIE-ESOLEHSTR-2001-editedDR-QAQC.xls,yes
CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,CSIRO,DEEPFLATHEADSE,FULTON,2008-04-30,2011-07-25,1978-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-deepwater_flathead-australia-2007_v2-editedDR-QAQC.xls,yes
AFSC-WPOLLAI-1976-2008-MELNYCHUK,AFSC,WPOLLAI,MELNYCHUK,2009-04-16,2011-07-25,1976-2008,http://www.afsc.noaa.gov/refm/docs/2008/AIpollock.pdf,Steve Barbeaux,,AFSC-WPOLLAI-2008-Walleye pollock AI.pdf,1,1,AD-CAM,,../spreadsheets/MELNYCHUK-WPOLLAI-2008-editedDR.xls,yes
WGHMM-FMEG8c9a-1986-2006-JENNINGS,WGHMM,FMEG8c9a,JENNINGS,2008-11-24,2011-07-25,1986-2006,http://www.ices.dk,NULL,NULL,ICES-WGHMM-2007.pdf,1,0,XSA,NULL,../spreadsheets/JENNINGS-ICES-MGB8C9A-1986-2007-editedDR-QAQC.xls,yes
WGBFAS-HERRIsum-1983-2007-JENNINGS,WGBFAS,HERRIsum,JENNINGS,2008-11-25,2011-07-25,1983-2007,http://www.ices.dk,NULL,NULL,ICES-NWWG-2007.pdf,1,0,NFT-ADAPT,Assessment not considered reliable by ACFM,../spreadsheets/JENNINGS-ICES-HERVASU-1986-2007-editedDR-QAQC.xls,yes
WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,WGNSSK,WHITNS-VIId-IIIa,MINTO,2008-04-14,2011-07-25,1979-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,"Prior to 1996 whiting in these areas were assessed separately. Given the problem with the interpretation of historical stock trends, ICES considers that the current state of the stock, with respect to biological reference points, is unknown. Industrial by-catch as activity in the norway pout and sandeel fisheries.",ICES-WGNSSK-2007.pdf,1,1,XSA,"Due to the lack of concordance in the data pre-dating the early 1990s, the working group considers that it is not possible categorically to classify the current state of the stock with reference to precautionary reference points as the biomass reference points are derived from a consideration of the stock dynamics at a time when the commercial catch-at-age data and the survey data conflict.",../spreadsheets/MINTO-WHITNS-VIId-IIIa-2007-editedDR-QAQC-revised.xls,yes
ICCAT-SKJEATL-1950-2006-JENSEN,ICCAT,SKJEATL,JENSEN,2009-04-11,2011-07-25,1950-2006,data received from contact.  Report online at: http://www.iccat.int/Documents/Meetings/Docs/2008_TROP_REP_EN.pdf,John Walter - NMFS,data from model output files - B and F timeseries calculated from ref points and B/Bmsy and F/Fmsy timeseries,JENSEN-YFINATL-2008.pdf,1,1,BSPM,based on run 5BZ,../spreadsheets/JENSEN-SKJEATL-2008-editedOJ.xls,yes
AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK,AFSC,ALPLAICBSAI,MELNYCHUK,2009-04-14,2011-07-25,1972-2008,http://www.afsc.noaa.gov/refm/docs/2008/BSAIplaice.pdf,"Thomas Wilderbuer, Tom.Wilderbuer@noaa.gov",,AFSC-ALPLAICBSAI-2008-Alaska plaice BSAI.pdf,1,1,AD-CAM,no comments,../spreadsheets/MELNYCHUK-ALPLAICBSAI-2008-editedDR-QAQC.xls,yes
NWWG-CAPEICE-1977-2007-MINTO,NWWG,CAPEICE,MINTO,2008-04-10,2011-07-25,1977-2007,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,Assessment is for capelin in the Iceland-East Greenland-Jan Mayen area. Need to request or estimate the fishing mortalities.,ICES-NWWG-2007.pdf,1,0,Acoustic,"Because of the short lifespan of the species, particular caution is taken not to reduce the population below 400000 SSB. The last two years of the assessment are preliminary. Year in time series refers to the summer season until the following March.",../spreadsheets/MINTO-CAPEICE-2007-editedDR-QAQC.xls,yes
NWFSC-ESOLEPCOAST-1876-2007-BRANCH,NWFSC,ESOLEPCOAST,BRANCH,2008-11-18,2011-07-25,1876-2007,http://www.pcouncil.org/groundfish/gfsafe1008/2007_English_sole_update_council.pdf,Ian Stewart Ian.Stewart@noaa.gov,,NWFSC-ESOLEPCOAST-2007-EnglishSole.pdf,1,1,SS2,,../spreadsheets/BRANCH-ESOLEPCOAST-2007-editedDR-QAQC.xls,yes
CCSBT-SC-SBT-1931-2009-Parma,CCSBT-SC,SBT,Parma,2011-01-16,2011-07-25,1931-2009,received from contact,Ana Parma (anaparma@gmail.com),Reviews of SBT data in 2006 indicated that SBT catches may have been substantially under-reported over the previous 10-20 years and the catch data presented here do not include estimates for this unreported catch. The assessment model is conditioned on uncertain scenarios about the size of the unreported catch.,Kurota-etal-2010.pdf,1,1,IA,Obtained in confidence from Ana Parma.,../spreadsheets/Parma-SBT-2010v2-editedDR.xls,yes
HAWG-HERRNIRS-1960-2006-JENNINGS,HAWG,HERRNIRS,JENNINGS,2008-11-26,2011-07-25,1960-2006,http://www.ices.dk,NULL,NULL,ICES-HAWG-2007.pdf,1,1,ICA,Assessment not considered reliable by ACFM,../spreadsheets/JENNINGS-ICES-HERIRLN-1961-2007-editedDR-QAQC.xls,yes
AFWG-HADNEAR-1947-2006-MINTO,AFWG,HADNEAR,MINTO,2008-03-31,2011-07-25,1947-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-AFWG-2007.pdf,1,1,VPA,"Assessment is based on two accounts of unreported catches, one from Norway (NOR=1) and one from Russia (RUS=2). Natural mortality is 0.2+age-specific predation by cod. Assessors recommend treating the assessment with caution owing to conflict with survey estimates.",../spreadsheets/MINTO-HADNEAR-2007-editedDR-QAQC.xls,yes
WGBFAS-HERR2532-1973-2006-JENNINGS,WGBFAS,HERR2532,JENNINGS,2008-11-21,2011-07-25,1973-2006,http://www.ices.dk,NULL,NULL,ICES-WGBFAS-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-HER2532-1974-2007-editedDR-QAQC.xls,yes
AFWG-POLLNEAR-1957-2006-MINTO,AFWG,POLLNEAR,MINTO,2008-04-07,2011-07-25,1957-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-AFWG-2007.pdf,1,1,XSA,NULL,../spreadsheets/MINTO-POLLNEAR-2007-editedDR-QAQC.xls,yes
ICCAT-BIGEYEATL-1950-2005-JENSEN,ICCAT,BIGEYEATL,JENSEN,2009-04-10,2011-07-25,1950-2005,data received from contact.  Report online at: http://www.iccat.int/Documents/SCRS/DetRep/DET_bet.pdf,John Walter - NMFS,,JENSEN-BIGEYEATL-2008.pdf,1,1,ASPIC,spawning stock and recruitment data from VPA,../spreadsheets/JENSEN-BIGEYEATL-2008-editedOJ.xls,yes
DFO-PAC-HERRPRD-1951-2007-COLLIE,DFO-PAC,HERRPRD,COLLIE,2008-07-30,2011-07-25,1951-2007,received from contact,"Jake Schweigert, Pacific Biological Station",this is a test entry only,RES2007_002_e.pdf,1,0,AD-CAM,The assessment method is called HCAM,../spreadsheets/COLLIE-HERRPRD-2007-editedDR-QAQC.xls,yes
DFO-POLL4X5YZ-1980-2006-PREFONTAINE,DFO,POLL4X5YZ,PREFONTAINE,2008-05-29,2011-08-02,1980-2006,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details ,"Final model is the Modified-Base Assessment. Data for 2006 is incomplete and represents a partial year, from January 1st to August 31st.",NAFO-POLL4VWX5Zc-2006.pdf,1,1,ADAPT,no comments,../spreadsheets/PREFONTAINE-POLL4VWX5Zc-2006-editedDR-jbQAQC.xls,yes
MARAM-CTRACSA-1950-2007-Johnston,MARAM,CTRACSA,Johnston,2009-02-12,2011-07-27,1950-2007,Assessment conducted personally,"Susan Johnston, susan.holloway@uct.ac.za",,Johnston-SAHorseMackerel-2007.pdf,1,0,ASPM,age-structured production model,../spreadsheets/Johnston-SAHorseMackerel-2007-editedDR.xls,yes
WGBFAS-CODBA2532-1964-2007-JENNINGS,WGBFAS,CODBA2532,JENNINGS,2008-11-18,2011-07-25,1964-2007,http://www.ices.dk,NULL,NULL,ICES-WGBFAS-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-COD2532-1966-2007-editedDR-QAQC.xls,yes
ASMFC-PANDALGOM-1960-2009-IDOINE,ASMFC,PANDALGOM,IDOINE,2009-04-22,2011-07-27,1960-2009,http://www.asmfc.org/,Margeret Hunter Maine DMR Margret.Hunter@maine.gov,Annual Assessment,2008ShrimpAssessment.pdf,1,1,CSA,CSA using dedicated  annual shrimp survey (State-Federal) and NEFSC bottom trawl indices with landings for years 1982 - 2008. ASPIC used for comparison and covers a period from 1968 - 2008,../spreadsheets/IDOINE-NSHRIMP-2008-editedDR.xls,yes
WGSSDS-SOLEVIIe-1968-2006-JENNINGS,WGSSDS,SOLEVIIe,JENNINGS,2008-11-25,2011-07-25,1968-2006,http://www.ices.dk,NULL,NULL,ICES-WGSSDS-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-SOLECHW-1969-2007-editedDR-QAQC.xls,yes
HAWG-HERR2224IIIa-1991-2006-MINTO,HAWG,HERR2224IIIa,MINTO,2008-04-15,2011-07-25,1991-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,Assessment covers spring-spawning herring in ICES sub-divisions 22-24 and division IIIa,ICES-HAWG-2007.pdf,1,0,ICA,"All surveys had noisy fits to population estimates for the younger and older age-classes, and somewhat better for the intermediate ones.",../spreadsheets/MINTO-HERR2224IIIa-2007-editedDR-QAQC.xls,yes
SEFSC-BHEADSHARATL-1950-2005-FAUCONNET,SEFSC,BHEADSHARATL,FAUCONNET,2009-05-08,2011-07-25,1950-2005,http://www.sefsc.noaa.gov/sedar/,,,SmallcoastalAtl2007-SEFSC.pdf,1,1,ASPM,State-space age-structured production model,../spreadsheets/FAUCONNET-BHEADSHARATL-2007-editedDR.xls,yes
SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN,SEFSC,MUTSNAPSATLCGM,JENSEN,2008-11-25,2011-07-25,1981-2006,http://www.sefsc.noaa.gov/sedar/download/S15%20SAR%203%20Final.pdf?id=DOCUMENT,,,JENSEN_MUTSNAPSATLCGM_2008.pdf,1,1,SCA,not in Fogarty files,../spreadsheets/JENSEN-MUTSNAPSATLCGM-2008-editedDR.xls,yes
SPRFMO-CHTRACCH-1950-2010-RICARD,SPRFMO,CHTRACCH,RICARD,2011-02-28,2011-07-25,1950-2010,http://www.southpacificrfmo.org/chilean-jack-mackerel-workshop-Meeting-Documents/,,"Original entry was from Olaf, current model output received from Andrew Penney.",9th-SWG-Report-Final-Adopted-28Oct2010.pdf,1,0,JJM,,../spreadsheets/RICARD-JACKMACKCH-2010-editedDR.xls,yes
SEFSC-SNOWGROUPSATLC-1961-2002-STANTON,SEFSC,SNOWGROUPSATLC,STANTON,2009-05-29,2011-07-25,1961-2002,http://www.sefsc.noaa.gov/sedar/,contact details ,,ref2004-SEDAR-deepwatersnappergrouper.pdf,1,1,SCA,no comments,../spreadsheets/STANTON-SNOWGROUPSATLC-editedDR-QAQC.xls,yes
NEFSC-TILEMATLC-1973-2008-NITSCHKE,NEFSC,TILEMATLC,NITSCHKE,2009-04-22,2011-07-25,1973-2008,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0514/,,Stock under rebuilding program with 2011 deadline.,Tilefish2005.pdf,1,1,ASPIC,,../spreadsheets/NITSCHKE-TILEFISH-2005-editedDR.xls,yes
NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH,NWFSC,BLACKROCKSPCOAST,BRANCH,2008-11-19,2011-07-25,1915-2007,http://www.pcouncil.org/groundfish/gfsafe1008/BLCK_S_07_FullDoc.pdf,David Sampson david.sampson@oregonstate.edu,,NWFSC-BLACKROCKSPCOAST-2007-Black rockfish OR CA.pdf,1,1,SS2,,../spreadsheets/BRANCH-BLACKROCKSPCOAST-2007-editedDR-QAQC.xls,yes
CSERG-ANCHOVYKILKACS-1991-2007-JENSEN,CSERG,ANCHOVYKILKACS,JENSEN,2011-01-14,2011-07-25,1991-2007,received from contact,fazlihasan@gmail.com,applies to Iranian waters of the Caspian Sea - may not be the entire stock,JENSEN-ANCHOVYKILKACS-2007.pdf,1,1,AAPM,Biomass estimated from unknown method in Fazli 2007. MSY estimated using Schaefer model,../spreadsheets/JENSEN-ANCHOVYKILKACS-2007-editedDR.xls,yes
ICCAT-ATBTUNAEATL-1969-2007-WORM,ICCAT,ATBTUNAEATL,WORM,2009-01-22,2011-07-25,1969-2007,http://www.iccat.int/Documents/Meetings/Docs/2008_BFT_STOCK_ASSESS_REP.pdf,"John.F.Walter@noaa.gov, NOAA-Fisheries SEFSC, 75 Virginia Beach Drive, Miami, Florida  33149","Time series data and reference points derived directly from John Walter, NMFS. Based on VPA run ""70-07 sh 075 4 blocks inflated CAA"" where catches were adjusted in recent years to 50-60,000 t to account for underreporting",ref2008-BFT-STOCK-ASSESS-REP.pdf,1,1,VPA,VPA,../spreadsheets/WORM-ATBTUNAEATL-2008-editedDR-QAQC.xls,yes
MARAM-CRLOBSTERSA34-1910-2008-Johnston,MARAM,CRLOBSTERSA34,Johnston,2009-02-12,2011-07-25,1910-2008,Assessment conducted personally,"Susan Johnston, susan.holloway@uct.ac.za",,Johnston-SAWestRockLobster-2007.pdf,1,0,SCA,length based,../spreadsheets/Johnston-SAWestRockLobster-A3-4-2007-editedDR.xls,yes
DFO-MAR-CUSK4X-1970-2007-RICARD,DFO-MAR,CUSK4X,RICARD,2011-03-01,2011-07-25,1970-2007,URL,tdavies@matshat.dal.ca,from CJFAS paper,Davies-Jonsen-CJFAS-2011.pdf,1,1,BSPM,timeseries obtained from Trevor Davies,../spreadsheets/RICARD-CUSK-4X-2011.xls,yes
NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN,NZMFishMIDDEPTHSWG,SBWHITACIR,JENSEN,2009-03-09,2011-07-25,1979-2006,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,base model - total biomass is at the middle of the fishing year; SSB is at spawning,CORDUEperscomm.pdf,1,1,CASAL,,../spreadsheets/JENSEN-BWHITINGNZCIR-2006-v2-editedDR.xls,yes
NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO,NEFSC,WINFLOUNSNEMATL,TERCEIRO,2008-12-03,2011-07-25,1940-2007,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,Mark Terceiro c/o NOAA Fisheries NEFSC: mtercer@mercury.wh.whoi.edu,"Stock is under rebuilding program with 2014 deadline. Total catch includes commercial landings, commercial dead discards, recreational landings, and recreational dead discards. Total landings is commercial landings only, does not include recreational landings. Life history data (mean weight at age etc. available for this stock)",NMFS-SNEMATL-Pseudopleuronectesamercianus-2008.pdf,1,1,NFT-ADAPT,,../spreadsheets/TERCEIRO-WINFLOUNSNEMATL-2008-editedDR.xls,yes
