Data_set	Paper	Study	SR_analysis	Diversity_analysis	Evenness_analysis	Country	Continent	Habitat	Life_form	Latitude	Longitude	Plot_type	Plot_size_min	Plot_size_max	Year1_min	Year1_max	Year2_min	Year2_max	Duration	N_time_points	N_plots_Year1	N_plots_Year2	SR_Year1_CT	SR_Year1_STDEV	SR_Year2_CT	SR_Year2_STDEV	Delta_SR_CT	Delta_SR_STDEV	CT	log_SR_ratio	Diversity_Year1_CT	Diversity_Year2_CT	Evenness_Year1_CT	Evenness_Year2_CT	Datathief	Driver
110	49	s49	1	0	0	Finland	Europe	Savanna_Shrubland	most	69.050	20.833	permanent	0.25	0.25	1990	1990	1999	2001	10	2	24	24	26.2246	7.162797906	34.698	9.465318264	NA	NA	mean	0.279984147	NA	NA	NA	NA	yes	Cessation_grazing
111	50	s50	1	0	0	Netherlands	Europe	Wetland	most	53.267	7.167	permanent	100	100	1983	1983	1997	1997	14	3	64	64	8	NA	10	NA	NA	NA	mean	0.223143551	NA	NA	NA	NA	no	Management
112	51	s51	1	0	0	Sweden	Europe	Forest	understory	55.965	13.716	permanent	1	100	1949	1970	1984	1985	25	2	79	79	9.7	NA	11.1	NA	NA	NA	mean	0.134819223	NA	NA	NA	NA	no	Pollution
113	52	s52	1	0	0	Germany	Europe	Grassland	most	49.867	8.650	permanent	4	4	2000	2001	2008	2009	8	9	5	5	32.2	NA	25.5	NA	NA	NA	mean	-0.233288	NA	NA	NA	NA	yes	Unknown
114	53	s53	1	1	1	Brazil	SouthAmerica	Savanna_Shrubland	woody	-15.933	-47.917	permanent	1000	1000	1985	1985	1994	1994	9	4	19	19	30	NA	32	NA	NA	NA	mean	0.064538521	3.46	3.36	0.84	0.83	yes	Unknown
115	54	s54	1	0	0	Switzerland	Europe	Grassland	most	47.343	7.695	semi-permanent	100	100	1946	1953	1983	1987	35.5	2	26	26	45.4	9.22922532	49.8	9.22922532	NA	NA	mean	0.092502879	NA	NA	NA	NA	no	Fragmentation
116	55	s55	1	0	0	French_Guiana	SouthAmerica	Forest	most	4.083	-52.683	permanent	2	2	1995	1995	2005	2005	10	2	89	89	15.3515	NA	13.5638	NA	NA	NA	mean	-0.12380871	NA	NA	NA	NA	yes	Climate
117	55	s55	1	0	0	French_Guiana	SouthAmerica	Forest	most	4.083	-52.683	permanent	2	2	1995	1995	2005	2005	10	2	64	64	16.9567	NA	13.9706	NA	NA	NA	mean	-0.193707914	NA	NA	NA	NA	yes	Climate
118	55	s55	1	0	0	French_Guiana	SouthAmerica	Forest	most	4.083	-52.683	permanent	2	2	1995	1995	2005	2005	10	2	52	52	20.7335	NA	17.523	NA	NA	NA	mean	-0.168236446	NA	NA	NA	NA	yes	Climate
119	56	s56	1	0	0	uk	Europe	Forest	woody	52.400	-0.233	semi-permanent	150	150	1971	1971	1998	1998	27	2	31	31	7.14	NA	6.72	NA	NA	NA	mean	-0.060624622	NA	NA	NA	NA	no	Management
120	57	s57	1	0	0	USA_New_Mexico	NorthAmerica	Grassland	most	32.810	-106.848	permanent	1	1	1915	1915	1979	1979	64	61	30	30	5.82903	NA	4.95243	NA	NA	NA	mean	-0.162972241	NA	NA	NA	NA	yes	Unknown
121	57	s57	1	0	0	USA_New_Mexico	NorthAmerica	Grassland	most	32.810	-106.848	permanent	1	1	1926	1926	1979	1979	53	39	6	6	10.2484	NA	1.73002	NA	NA	NA	mean	-1.778988627	NA	NA	NA	NA	yes	Unknown
122	57	s57	1	0	0	USA_New_Mexico	NorthAmerica	Grassland	most	32.810	-106.848	permanent	1	1	1915	1915	1979	1979	64	60	4	12	3.21918	NA	2.60555	NA	NA	NA	mean	-0.211482883	NA	NA	NA	NA	yes	Unknown
123	57	s57	1	0	0	USA_New_Mexico	NorthAmerica	Grassland	most	32.810	-106.848	permanent	1	1	1915	1915	1979	1979	64	61	1	7	5.0029	NA	2.72864	NA	NA	NA	mean	-0.606214428	NA	NA	NA	NA	yes	Unknown
124	58	s58	1	1	1	Sweden	Europe	Forest	most	57.152	14.690	semi-permanent	100	100	1996	1996	2006	2006	10	2	17	17	31.846	5.967842662	29.981	7.960902025	NA	NA	mean	-0.060347938	2.531	2.496	0.917	0.9305	yes	Unknown
125	58	s58	1	1	1	Sweden	Europe	Forest	most	58.065	12.311	semi-permanent	100	100	1991	1991	2005	2005	14	2	17	17	27.107	7.545494945	26.026	7.540675519	NA	NA	mean	-0.040695959	2.0275	2.25	0.6515	0.6545	yes	Unknown
126	58	s58	1	1	1	Sweden	Europe	Forest	most	59.736	14.900	semi-permanent	100	100	1998	1998	2003	2003	5	2	16	16	22.329	6.18919939	32.394	7.433503913	NA	NA	mean	0.372086938	1.7815	2.344	0.693	0.6155	yes	Unknown
127	58	s58	1	1	1	Sweden	Europe	Forest	most	63.823	17.391	semi-permanent	100	100	1999	1999	2004	2004	5	2	32	32	27.261	6.034890916	32.956	6.59041812	NA	NA	mean	0.189716229	1.5355	2.356	0.4285	0.527	yes	Unknown
128	59	s59	1	0	0	Sweden	Europe	Wetland	most	58.083	12.017	semi-permanent	0.25	0.25	1999	1999	2004	2004	5	2	750	750	10.5	NA	10.8	NA	NA	NA	mean	0.028170877	NA	NA	NA	NA	no	Climate
129	60	s60	1	0	0	Switzerland	Europe	Wetland	most	46.917	6.950	permanent	1	1	1982	1982	1996	1996	14	4	3	3	12.3	NA	9.4	NA	NA	NA	mean	-0.268889573	NA	NA	NA	NA	no	Unknown
130	60	s60	1	0	0	Switzerland	Europe	Wetland	most	46.917	6.950	permanent	25	25	1982	1982	1996	1996	14	5	3	3	14	NA	10	NA	NA	NA	mean	-0.336472237	NA	NA	NA	NA	no	Unknown
131	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	9724.323611	9724.323611	1947	1949	2005	2007	58	2	1	1	66	NA	83	NA	NA	NA	mean	0.229185866	NA	NA	NA	NA	no	Cessation_grazing
132	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	9120.87049	9120.87049	1947	1949	2005	2007	58	2	1	1	63	NA	99	NA	NA	NA	mean	0.451985124	NA	NA	NA	NA	no	Cessation_grazing
133	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	8114.69	8114.69	1947	1949	2005	2007	58	2	1	1	60	NA	73	NA	NA	NA	mean	0.196114879	NA	NA	NA	NA	no	Cessation_grazing
134	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	7577.776133	7577.776133	1947	1949	2005	2007	58	2	1	1	44	NA	63	NA	NA	NA	mean	0.358945092	NA	NA	NA	NA	no	Cessation_grazing
135	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	7433.786233	7433.786233	1947	1949	2005	2007	58	2	1	1	54	NA	77	NA	NA	NA	mean	0.354821375	NA	NA	NA	NA	no	Cessation_grazing
136	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	7367.738028	7367.738028	1947	1949	2005	2007	58	2	1	1	39	NA	55	NA	NA	NA	mean	0.343771539	NA	NA	NA	NA	no	Cessation_grazing
137	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	7108.190414	7108.190414	1947	1949	2005	2007	58	2	1	1	47	NA	72	NA	NA	NA	mean	0.426518517	NA	NA	NA	NA	no	Cessation_grazing
138	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	6398.382912	6398.382912	1947	1949	2005	2007	58	2	1	1	64	NA	67	NA	NA	NA	mean	0.045809536	NA	NA	NA	NA	no	Cessation_grazing
139	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	6383.794821	6383.794821	1947	1949	2005	2007	58	2	1	1	50	NA	81	NA	NA	NA	mean	0.482426149	NA	NA	NA	NA	no	Cessation_grazing
140	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	6340.553897	6340.553897	1947	1949	2005	2007	58	2	1	1	48	NA	58	NA	NA	NA	mean	0.189242	NA	NA	NA	NA	no	Cessation_grazing
141	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	6134.170938	6134.170938	1947	1949	2005	2007	58	2	1	1	29	NA	49	NA	NA	NA	mean	0.524524468	NA	NA	NA	NA	no	Cessation_grazing
142	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	5663.33168	5663.33168	1947	1949	2005	2007	58	2	1	1	37	NA	49	NA	NA	NA	mean	0.280902385	NA	NA	NA	NA	no	Cessation_grazing
143	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	5552.201106	5552.201106	1947	1949	2005	2007	58	2	1	1	51	NA	73	NA	NA	NA	mean	0.358633808	NA	NA	NA	NA	no	Cessation_grazing
144	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	5467.533939	5467.533939	1947	1949	2005	2007	58	2	1	1	48	NA	83	NA	NA	NA	mean	0.547639597	NA	NA	NA	NA	no	Cessation_grazing
145	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	5210.09291	5210.09291	1947	1949	2005	2007	58	2	1	1	50	NA	70	NA	NA	NA	mean	0.336472237	NA	NA	NA	NA	no	Cessation_grazing
146	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	5086.97026	5086.97026	1947	1949	2005	2007	58	2	1	1	62	NA	75	NA	NA	NA	mean	0.190353728	NA	NA	NA	NA	no	Cessation_grazing
147	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	4872.004096	4872.004096	1947	1949	2005	2007	58	2	1	1	28	NA	59	NA	NA	NA	mean	0.745332934	NA	NA	NA	NA	no	Cessation_grazing
148	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	4469.54487	4469.54487	1947	1949	2005	2007	58	2	1	1	51	NA	84	NA	NA	NA	mean	0.498991166	NA	NA	NA	NA	no	Cessation_grazing
149	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	4438.07	4438.07	1947	1949	2005	2007	58	2	1	1	56	NA	57	NA	NA	NA	mean	0.017699577	NA	NA	NA	NA	no	Cessation_grazing
150	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	3778.592522	3778.592522	1947	1949	2005	2007	58	2	1	1	46	NA	70	NA	NA	NA	mean	0.419853846	NA	NA	NA	NA	no	Cessation_grazing
151	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	3516.8	3516.8	1947	1949	2005	2007	58	2	1	1	37	NA	68	NA	NA	NA	mean	0.608589793	NA	NA	NA	NA	no	Cessation_grazing
152	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	3397.322632	3397.322632	1947	1949	2005	2007	58	2	1	1	45	NA	71	NA	NA	NA	mean	0.456017387	NA	NA	NA	NA	no	Cessation_grazing
153	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	3203.166026	3203.166026	1947	1949	2005	2007	58	2	1	1	35	NA	45	NA	NA	NA	mean	0.251314428	NA	NA	NA	NA	no	Cessation_grazing
154	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	2929.225412	2929.225412	1947	1949	2005	2007	58	2	1	1	30	NA	58	NA	NA	NA	mean	0.659245629	NA	NA	NA	NA	no	Cessation_grazing
155	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	2784.335425	2784.335425	1947	1949	2005	2007	58	2	1	1	31	NA	38	NA	NA	NA	mean	0.203598955	NA	NA	NA	NA	no	Cessation_grazing
156	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	2654.448921	2654.448921	1947	1949	2005	2007	58	2	1	1	23	NA	50	NA	NA	NA	mean	0.776528789	NA	NA	NA	NA	no	Cessation_grazing
157	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	2599.28	2599.28	1947	1949	2005	2007	58	2	1	1	32	NA	49	NA	NA	NA	mean	0.426084395	NA	NA	NA	NA	no	Cessation_grazing
158	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	2520.457198	2520.457198	1947	1949	2005	2007	58	2	1	1	28	NA	53	NA	NA	NA	mean	0.638087403	NA	NA	NA	NA	no	Cessation_grazing
159	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	2281.865802	2281.865802	1947	1949	2005	2007	58	2	1	1	57	NA	40	NA	NA	NA	mean	-0.354171814	NA	NA	NA	NA	no	Cessation_grazing
160	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	1434.135768	1434.135768	1947	1949	2005	2007	58	2	1	1	46	NA	50	NA	NA	NA	mean	0.083381609	NA	NA	NA	NA	no	Cessation_grazing
161	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	1337.53	1337.53	1947	1949	2005	2007	58	2	1	1	27	NA	49	NA	NA	NA	mean	0.595983432	NA	NA	NA	NA	no	Cessation_grazing
162	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	919.0837356	919.0837356	1947	1949	2005	2007	58	2	1	1	14	NA	25	NA	NA	NA	mean	0.579818495	NA	NA	NA	NA	no	Cessation_grazing
163	61	s61	1	0	0	Finland	Europe	Forest	most	60.000	21.500	permanent	488.9589858	488.9589858	1947	1949	2005	2007	58	2	1	1	6	NA	10	NA	NA	NA	mean	0.510825624	NA	NA	NA	NA	no	Cessation_grazing
164	62	s62	1	0	0	USA_Tennessee	NorthAmerica	Forest	tree	35.567	-83.883	permanent	800	800	1977	1985	1995	1995	14	2	24	24	2.75	1.26	6.25	3.69	NA	NA	mean	0.820980552	NA	NA	NA	NA	no	Post_fire
165	62	s62	1	0	0	USA_Tennessee	NorthAmerica	Forest	tree	35.567	-83.883	permanent	800	800	1977	1985	1995	1995	14	2	24	24	6.33	1.53	6.33	2.08	NA	NA	mean	0	NA	NA	NA	NA	no	Post_fire
166	62	s62	1	0	0	USA_Tennessee	NorthAmerica	Forest	tree	35.567	-83.883	permanent	800	800	1977	1985	1995	1995	14	2	24	24	9	2	8.71	2.06	NA	NA	mean	-0.032752786	NA	NA	NA	NA	no	Post_fire
167	63	s63	1	1	1	Japan	Asia	Grassland	most	40.517	141.567	permanent	1	6	2003	2003	2011	2011	8	2	31	31	6.7	3.6	5.2	3	NA	NA	mean	-0.253448901	1.54	0.83	0.88	0.54	no	Ongoing_disturbance
168	63	s63	1	1	1	Japan	Asia	Grassland	most	40.200	141.783	permanent	1	6	2003	2003	2011	2011	8	2	25	26	4.9	3	4.7	1.9	NA	NA	mean	-0.041672696	1.24	0.76	0.91	0.53	no	Ongoing_disturbance
169	63	s63	1	1	1	Japan	Asia	Grassland	most	40.083	141.817	permanent	1	6	2003	2003	2011	2011	8	2	13	16	4.2	3.9	4.4	2.3	NA	NA	mean	0.046520016	0.7	0.75	0.69	0.59	no	Ongoing_disturbance
170	63	s63	1	1	1	Japan	Asia	Grassland	most	39.933	141.933	permanent	1	6	2003	2003	2011	2011	8	2	27	10	5.4	2.7	7.1	2.8	NA	NA	mean	0.27369583	1.03	1.22	0.67	0.68	no	Ongoing_disturbance
171	64	s64	1	0	0	USA_Rhode_Island	NorthAmerica	Wetland	most	41.537	-71.217	semi-permanent	500	500	1998	1998	2009	2009	11	3	18	18	36.22	NA	40.62	NA	NA	NA	mean	0.114649104	NA	NA	NA	NA	no	Invasion
172	65	s65	1	0	0	Czech_Republic	Europe	Forest	understory	50.333	17.000	semi-permanent	315	315	1941	1944	1994	1999	54	2	22	57	35	NA	19	NA	NA	NA	mean	-0.610909082	NA	NA	NA	NA	no	Unknown
173	66	s66	1	0	0	USA_Wisconsin	NorthAmerica	Grassland	most	43.405	-89.257	permanent	0.25	0.25	1980	1980	1989	1989	9	5	20	20	11.5	NA	11.7	NA	NA	NA	mean	0.017241806	18	18	NA	NA	yes	Ongoing_disturbance
174	67	s67	1	0	0	Canada_Quebec	NorthAmerica	Forest	most	45.560	-73.180	permanent	1	1	1969	1969	1976	1976	7	4	137	137	10.9	3.71	9.9	3.62	NA	NA	mean	-0.096228032	NA	NA	NA	NA	no	Unknown
175	67	s67	1	0	0	Canada_Quebec	NorthAmerica	Forest	most	45.560	-73.180	permanent	1	1	1969	1969	1976	1976	7	4	90	90	8	3.46	7.2	3.39	NA	NA	mean	-0.105360516	NA	NA	NA	NA	no	Unknown
176	68	s68	1	1	0	USA_Alaska	NorthAmerica	Tundra	most	71.300	-156.667	permanent	0.49	0.49	1995	1995	2000	2000	5	2	24	24	19.3	1.959591794	19.8	NA	NA	NA	mean	0.025576842	2.5	2.4	NA	NA	no	Unknown
177	69	s69	1	1	0	USA_Michigan	NorthAmerica	Grassland	most	42.400	-85.367	permanent	1	1	1989	1989	1995	1995	6	7	6	6	5	1.861612205	13	4.874484588	NA	NA	mean	0.955511445	0.63	1.46	NA	NA	yes	Post_disturbance
178	70	s70	1	0	0	Canada_Nunavut	NorthAmerica	Tundra	most	78.883	-75.917	permanent	1	1	1996	1996	2007	2007	11	3	18	18	18.6	1.731690076	15.7	2.813996374	NA	NA	mean	-0.169500868	NA	NA	NA	NA	no	Unknown
179	71	s71	1	0	0	Sweden	Europe	Many	most	59.417	17.750	permanent	3850	3850	1731	1731	1992	1992	261	4	1	1	86	NA	127	NA	NA	NA	mean	0.38983979	NA	NA	NA	NA	no	Management
180	72	s72	1	0	0	Chile	SouthAmerica	Savanna_Shrubland	herb	-30.681	-71.667	semi-permanent	5625	5625	1989	1989	2007	2007	18	19	4	4	11.297	NA	10.372	NA	NA	NA	mean	-0.085427336	NA	NA	NA	NA	yes	Climate
181	73	s73	1	0	0	Sweden	Europe	Wetland	most	57.167	14.500	semi-permanent	0.25	0.25	1954	1954	1998	1998	44	2	833	278	8.2	NA	9.1	NA	NA	NA	mean	0.104140259	NA	NA	NA	NA	no	Unknown
182	74	s74	1	0	0	Germany	Europe	Wetland	most	54.617	8.850	permanent	4	4	1992	1992	2004	2004	12	13	11	11	5	NA	8.3	NA	NA	NA	mean	0.506817602	NA	NA	0.395	0.39	yes	Cessation_grazing
183	74	s74	1	0	0	Germany	Europe	Wetland	most	54.617	8.850	permanent	4	4	1992	1992	2004	2004	12	13	8	8	8.1	NA	8.6	NA	NA	NA	mean	0.059898142	NA	NA	0.35	0.21	yes	Cessation_grazing
184	75	s75a	1	1	0	USA_Colorado	NorthAmerica	Forest	understory	40.030	-105.440	permanent	0.85	0.85	1981	1981	1996	1996	15	2	50	50	36	NA	38	NA	NA	NA	mean	0.054067221	3.05	3.15	NA	NA	no	Post_fire
185	75	s75a	1	1	0	USA_Colorado	NorthAmerica	Forest	understory	40.030	-105.440	permanent	0.85	0.85	1981	1981	1996	1996	15	2	50	50	40	NA	41	NA	NA	NA	mean	0.024692613	3.24	3.29	NA	NA	no	Post_fire
186	75	s75a	1	1	0	USA_Colorado	NorthAmerica	Forest	understory	40.030	-105.440	permanent	0.85	0.85	1981	1981	1996	1996	15	2	50	50	45	NA	29	NA	NA	NA	mean	-0.43936666	3.25	2.92	NA	NA	no	Post_disturbance
187	75	s75b	1	1	0	USA_Colorado	NorthAmerica	Grassland	most	40.030	-105.440	permanent	0.85	0.85	1981	1981	1996	1996	15	2	50	50	41	NA	35	NA	NA	NA	mean	-0.158224005	3.29	3.18	NA	NA	no	Unknown
188	76	s76	1	0	0	Czech_Republic	Europe	Grassland	most	49.983	12.750	permanent	8	8	1990	1990	2006	2006	16	7	4	4	17.6808	2.133	27.4409	0.64	NA	NA	mean	0.439555296	NA	NA	NA	NA	yes	Unknown
189	77	s77	1	0	0	USA_Wisconsin	NorthAmerica	Grassland	most	43.275	-89.621	semi-permanent	20	20	1950	1950	2005	2005	55	2	10	10	65.2	NA	69.8	NA	NA	NA	mean	0.068174541	NA	NA	NA	NA	no	Unknown
190	78	s78a	1	0	0	Netherlands	Europe	Grassland	most	52.050	4.200	permanent	30	30	1952	1952	2004	2004	52	22	15	15	32.5	NA	27.6	NA	NA	NA	mean	-0.163424317	NA	NA	NA	NA	yes	Unknown
191	78	s78a	1	0	0	Netherlands	Europe	Grassland	most	52.050	4.200	permanent	30	30	1952	1952	2004	2004	52	22	9	9	33	NA	26	NA	NA	NA	mean	-0.238411023	NA	NA	NA	NA	yes	Unknown
192	78	s78b	1	0	0	Netherlands	Europe	Savanna_Shrubland	most	52.050	4.200	permanent	360	360	1952	1952	2004	2004	52	22	11	11	34	NA	26	NA	NA	NA	mean	-0.268263987	NA	NA	NA	NA	yes	Unknown
193	79	s79	1	1	0	Belgium	Europe	Forest	understory	51.117	3.375	semi-permanent	150	150	1977	1980	1997	1998	19	2	20	20	22.95	NA	22.75	NA	NA	NA	mean	-0.008752791	2.23	2.23	NA	NA	no	Pollution
194	79	s79	1	1	0	Belgium	Europe	Forest	understory	51.117	3.375	semi-permanent	150	150	1977	1980	1997	1998	19	2	6	6	10.83	NA	7.17	NA	NA	NA	mean	-0.412414406	1.92	1.08	NA	NA	no	Pollution
195	80	s80	1	1	0	USA_Arizona	NorthAmerica	Forest	understory	35.190	-111.675	permanent	1	1	1912	1938	2007	2007	82	2	82	82	7.7	2.772056675	5.4	3.696075567	NA	NA	mean	-0.354821375	1.530394705	1.17557333	NA	NA	no	Canopy_closure
196	81	s81	1	0	0	Netherlands	Europe	Wetland	most	53.433	5.467	permanent	50	150	1953	1953	1990	1990	37	15	17	17	14.9	5.7	8.2	2.2	NA	NA	mean	-0.597227059	NA	NA	NA	NA	yes	Hydrology
197	81	s81	1	0	0	Netherlands	Europe	Wetland	most	53.433	5.467	permanent	50	250	1954	1954	1990	1990	36	14	10	10	18.4	7.2	11.3	2.5	NA	NA	mean	-0.487547939	NA	NA	NA	NA	yes	Hydrology
198	82	s82	1	1	1	Brazil	SouthAmerica	Savanna_Shrubland	woody	-14.533	-51.567	permanent	6300	6300	1997	1997	2002	2002	5	2	1	1	72	NA	71	NA	NA	NA	mean	-0.013986242	3.1	3.13	0.72	0.73	no	Ongoing_fire
199	83	s83	1	0	0	China	Asia	Forest	most	23.167	112.167	permanent	1	1	2003	2003	2008	2008	5	6	6	6	6.1761	2.133750515	8.3654	1.710723636	NA	NA	mean	0.303417147	NA	NA	NA	NA	yes	Unknown
200	84	s84	1	0	0	China	Asia	Forest	most	23.167	112.167	permanent	1	1	2003	2003	2008	2008	5	6	6	6	3.832	1.530931089	5.988	3.167190237	NA	NA	mean	0.446370606	NA	NA	NA	NA	yes	Unknown
201	84	s84	1	0	0	China	Asia	Forest	most	23.167	112.167	permanent	1	1	2003	2003	2008	2008	5	6	6	6	1.808	0.884265797	2.566	1.682799453	NA	NA	mean	0.350127004	NA	NA	NA	NA	yes	Unknown
202	85	s85	1	0	0	Hungary	Europe	Grassland	most	47.467	21.950	permanent	4	4	1994	1994	2000	2000	6	7	5	5	21.4	NA	15.87	NA	NA	NA	mean	-0.298960387	NA	NA	NA	NA	no	Cessation_grazing
203	85	s85	1	0	0	Hungary	Europe	Grassland	most	47.467	21.950	permanent	4	4	1994	1994	2000	2000	6	7	5	5	11.4	NA	11.27	NA	NA	NA	mean	-0.011469027	NA	NA	NA	NA	no	Unknown
204	86	s86	1	0	0	uk	Europe	Grassland	most	53.083	-4.033	semi-permanent	232	232	1968	1968	2008	2008	40	2	32	32	36.8	3.676955262	23.8	3.563818177	NA	NA	mean	-0.435812264	NA	NA	NA	NA	no	Pollution
205	87	s87	1	0	0	USA_New_Jersey	NorthAmerica	Grassland	most	40.500	-74.567	permanent	1	1	1958	1958	1998	1998	40	12	480	480	12.4	NA	11	NA	NA	NA	mean	-0.1198012	NA	NA	NA	NA	yes	Post_disturbance
206	88	s88	1	1	1	Brazil	SouthAmerica	Forest	tree	-14.817	-52.100	permanent	6000	6000	2003	2003	2008	2008	5	2	1	1	84	NA	82	NA	NA	NA	mean	-0.024097552	3.34	3.37	0.75	0.76	no	Unknown
207	89	s89	1	0	0	USA_Wisconsin	NorthAmerica	Grassland	most	43.700	-88.700	permanent	1	1	1940	1949	1999	1999	54.5	2	420	420	10.6	2.3	12.8	3.9	NA	NA	mean	0.18859117	NA	NA	NA	NA	no	Post_fire
208	90	s90	1	0	0	Ireland	Europe	Grassland	most	53.000	-9.003	permanent	0.1	0.1	1992	1992	1997	1997	5	6	100	100	9.03957	2.6244	5.85581	1.6412	NA	NA	mean	-0.434177276	NA	NA	NA	NA	yes	Unknown
209	91	s91	0	0	0	Bahamas	Caribbean	Many	most	24.217	-76.483	permanent	10	6000	1990	1990	2007	2007	17	2	77	77	NA	NA	NA	NA	-9.43	NA	mean	NA	NA	NA	NA	NA	no	Ongoing_disturbance
210	91	s91	0	0	0	Bahamas	Caribbean	Many	most	24.217	-76.483	permanent	10	6000	1993	1993	2007	2007	14	2	29	29	NA	NA	NA	NA	-6.75	NA	mean	NA	NA	NA	NA	NA	no	Ongoing_disturbance
211	91	s91	0	0	0	Bahamas	Caribbean	Many	most	24.217	-76.483	permanent	10	6000	1990	1990	2007	2007	17	2	46	46	NA	NA	NA	NA	-9	NA	mean	NA	NA	NA	NA	NA	no	Ongoing_disturbance
212	92	s92	1	0	0	USA_Tennessee	NorthAmerica	Forest	shrub	35.653	-85.348	semi-permanent	50	50	1952	1953	2000	2000	47.5	3	1	1	30	NA	13	NA	NA	NA	mean	-0.836248024	NA	NA	NA	NA	no	Post_disturbance
213	93	s93	1	0	0	Puerto_Rico	Caribbean	Grassland	most	18.333	-65.750	permanent	10	10	1995	1995	2005	2005	10	11	25	25	12.1	NA	38	NA	NA	NA	mean	1.144380707	NA	NA	NA	NA	yes	Cessation_grazing
214	93	s93	1	0	0	Puerto_Rico	Caribbean	Grassland	most	18.333	-65.750	permanent	10	10	2000	2000	2005	2005	5	6	25	25	30.7	NA	39.9	NA	NA	NA	mean	0.262113669	NA	NA	NA	NA	yes	Cessation_grazing
215	93	s93	1	0	0	Puerto_Rico	Caribbean	Grassland	most	18.333	-65.750	permanent	10	10	2000	2000	2005	2005	5	6	25	25	33.7	NA	40.1	NA	NA	NA	mean	0.173878497	NA	NA	NA	NA	yes	Cessation_grazing
216	93	s93	1	0	0	Puerto_Rico	Caribbean	Grassland	most	18.333	-65.750	permanent	10	10	2000	2000	2005	2005	5	6	25	25	49.7	NA	59.7	NA	NA	NA	mean	0.183327087	NA	NA	NA	NA	yes	Cessation_grazing
217	93	s93	1	0	0	Puerto_Rico	Caribbean	Grassland	most	18.333	-65.750	permanent	10	10	2000	2000	2005	2005	5	6	25	25	49.9	NA	53.4	NA	NA	NA	mean	0.067789743	NA	NA	NA	NA	yes	Cessation_grazing
218	94	s94	1	0	0	Germany	Europe	Forest	herb	53.314	9.338	permanent	100	400	1986	1988	2008	2009	21.5	2	175	175	28	NA	31.7	NA	NA	NA	mean	0.124112171	NA	NA	NA	NA	no	Unknown
219	95	s95	1	0	0	Norway	Europe	Forest	understory	60.083	10.800	permanent	1	1	1931	1931	1991	1992	60.5	3	106	106	14.38	4.49	9.03	3.01	NA	NA	mean	-0.465285985	NA	NA	NA	NA	yes	Canopy_closure
220	96	s96	1	0	0	Norway	Europe	Wetland	most	60.667	6.467	semi-permanent	0.5	0.5	1987	1987	2000	2000	13	12	40	40	6.44	NA	8.19	NA	NA	NA	mean	0.240385358	NA	NA	NA	NA	yes	Hydrology
221	97	s97	1	0	0	Norway	Europe	Forest	most	58.967	8.967	permanent	1	1	1988	1988	1993	1993	5	6	50	50	28.5	NA	30.9	NA	NA	NA	mean	0.080852097	NA	NA	NA	NA	no	Unknown
222	97	s97	1	0	0	Norway	Europe	Forest	most	58.967	8.967	permanent	1	1	1988	1988	1993	1993	5	6	50	50	18.4	NA	20.2	NA	NA	NA	mean	0.09333194	NA	NA	NA	NA	no	Unknown
